App,Category,Rating,Reviews,Installs,Type,Rating_x2
Photo Editor,ART_AND_DESIGN,4.1,159,10000,Free,8.2
Coloring Book,ART_AND_DESIGN,3.9,967,500000,Free,7.8
Launcher Lite,ART_AND_DESIGN,4.7,87510,5000000,Free,9.4
Sketch,ART_AND_DESIGN,4.5,215644,50000000,Free,9.0
Pixel Draw,ART_AND_DESIGN,4.3,967,100000,Free,8.6
Budget Planner,FINANCE,4.6,42010,1000000,Free,9.2
Stock Notes,FINANCE,4.35,320,10000,Paid,8.7
Step Counter,HEALTH_AND_FITNESS,4.2,17502,500000,Free,8.4
Meal Log,HEALTH_AND_FITNESS,4.0,8401,100000,Free,8.0
Pill Reminder,MEDICAL,4.8,2112,50000,Free,9.6
Language Cards,EDUCATION,4.4,10811,500000,Paid,8.8
Physics Lab,EDUCATION,4.7,5491,100000,Free,9.4
