App,Category,Rating,Reviews,Installs,Type
Photo Editor,ART_AND_DESIGN,4.1,159,10000,Free
Coloring Book,ART_AND_DESIGN,3.9,967,500000,Free
Launcher Lite,ART_AND_DESIGN,4.7,87510,5000000,Free
Sketch,ART_AND_DESIGN,4.5,215644,50000000,Free
Pixel Draw,ART_AND_DESIGN,4.3,967,100000,Free
Budget Planner,FINANCE,4.6,42010,1000000,Free
Stock Notes,FINANCE,4.6,320,10000,Paid
Step Counter,HEALTH_AND_FITNESS,4.2,17502,500000,Free
Meal Log,HEALTH_AND_FITNESS,4.0,8401,100000,Free
Pill Reminder,MEDICAL,4.8,2112,50000,Free
Language Cards,EDUCATION,4.4,10811,500000,Paid
Physics Lab,EDUCATION,4.7,5491,100000,Free
Photo Editor,ART_AND_DESIGN,4.1,159,10000,Free
