Date,Actual,Forecast
2025-10-20,109.12,107.82767006615161
2025-10-21,103.46,109.3183393022114
2025-10-22,115.8,109.15682561766464
2025-10-23,114.4,111.30166528195971
2025-10-24,118.82,110.15789034910715
2025-10-25,133.36,109.69164814130596
2025-10-26,120.24,109.80817464485239
2025-10-27,117.54,109.40825067715357
2025-10-28,119.62,109.72196881466327
2025-10-29,119.31,109.83660352620743
2025-10-30,136.54,109.78103314265734
2025-10-31,142.37,109.85116998891921
2025-11-01,133.65,109.77257190154862
2025-11-02,140.55,109.74899075120031
2025-11-03,129.61,109.76986565492709
2025-11-04,121.8,109.75790897121118
2025-11-05,131.12,109.77598749780435
2025-11-06,131.54,109.77991636462001
2025-11-07,135.63,109.77321081938275
2025-11-08,136.99,109.77536698580668
2025-11-09,123.13,109.77155661594114
2025-11-10,123.49,109.77111776579991
2025-11-11,123.45,109.77303865128552
2025-11-12,118.99,109.77257109021826
2025-11-13,118.69,109.7732997031464
2025-11-14,122.59,109.77328799038607
2025-11-15,122.61,109.77278614825039
2025-11-16,109.19,109.77291311034232
2025-11-17,104.78,109.77278963492058
2025-11-18,107.92,109.77281429736938
2025-11-19,112.93,109.77293534738894
2025-11-20,111.51,109.77289652725709
2025-11-21,113.99,109.77291410112127
2025-11-22,113.45,109.77290532255459
2025-11-23,106.78,109.7728781878401
2025-11-24,111.52,109.77289011820602
2025-11-25,112.39,109.7728883225627
2025-11-26,129.73,109.77289044970559
2025-11-27,123.83,109.7728961210085
2025-11-28,132.49,109.77289262738299
2025-11-29,132.32,109.77289266059044
2025-11-30,122.82,109.7728922977118
2025-12-01,121.84,109.77289118961995
2025-12-02,128.54,109.77289214884995
2025-12-03,138.82,109.77289218428412
2025-12-04,135.7,109.77289220729755
2025-12-05,136.06,109.77289241104587
2025-12-06,121.06,109.77289216472114
2025-12-07,130.37,109.77289215795933
2025-12-08,130.67,109.77289217175539
2025-12-09,130.34,109.77289213572742
2025-12-10,131.25,109.77289219494344
2025-12-11,127.86,109.77289219378808
2025-12-12,126.73,109.77289218570219
2025-12-13,127.93,109.77289219219179
2025-12-14,116.78,109.77289217885362
2025-12-15,100.56,109.7728921801486
2025-12-16,117.78,109.772892183085
2025-12-17,107.93,109.77289218176428
2025-12-18,123.56,109.77289218457892
2025-12-19,125.6,109.77289218400037
2025-12-20,118.35,109.77289218312691
2025-12-21,116.21,109.77289218345541
2025-12-22,120.35,109.77289218289941
2025-12-23,106.35,109.7728921830941
2025-12-24,118.84,109.77289218332268
2025-12-25,124.09,109.77289218322727
2025-12-26,120.65,109.77289218333014
2025-12-27,137.4,109.77289218327472
2025-12-28,122.2,109.77289218322065
2025-12-29,121.63,109.7728921832497
2025-12-30,130.1,109.77289218323172
2025-12-31,139.33,109.77289218324559
